Semana,mobile-friendly: (Todo el mundo),mobile friendly: (Todo el mundo)
2023-04-09,6,72
2023-04-16,6,73
2023-04-23,5,79
2023-04-30,4,72
2023-05-07,4,68
2023-05-14,6,74
2023-05-21,7,77
2023-05-28,0,80
2023-06-04,4,68
2023-06-11,0,76
2023-06-18,0,74
2023-06-25,7,72
2023-07-02,0,74
2023-07-09,5,80
2023-07-16,0,87
2023-07-23,6,85
2023-07-30,0,78
2023-08-06,4,74
2023-08-13,5,77
2023-08-20,7,68
2023-08-27,4,78
2023-09-03,0,77
2023-09-10,5,69
2023-09-17,6,77
2023-09-24,5,70
2023-10-01,5,70
2023-10-08,6,70
2023-10-15,5,80
2023-10-22,6,64
2023-10-29,6,68
2023-11-05,5,61
2023-11-12,7,65
2023-11-19,6,71
2023-11-26,4,66
2023-12-03,7,78
2023-12-10,6,64
2023-12-17,7,66
2023-12-24,5,58
2023-12-31,7,65
2024-01-07,4,60
2024-01-14,6,75
2024-01-21,7,75
2024-01-28,9,72
2024-02-04,7,63
2024-02-11,0,68
2024-02-18,7,67
2024-02-25,8,59
2024-03-03,6,64
2024-03-10,7,64
2024-03-17,7,100
2024-03-24,2,69
2024-03-31,6,64
2024-04-07,6,59
